GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
828.000,1418.45001000,.003,18.61001000,938.000,3203.06302000,8947.000
823.000,1418.45001000,.003,18.61001000,953.000,3213.06302000,9012.000
833.000,1418.45001000,.003,18.61001000,942.000,3212.06302000,8932.000
829.000,1418.45001000,.003,18.61001000,976.000,3242.06302000,8993.000
854.000,1418.45001000,.003,18.61001000,991.000,3282.06302000,9126.000
822.000,1418.45001000,.003,18.61001000,1006.000,3265.06302000,9107.000
837.000,1418.45001000,.002,18.61001000,1069.000,3343.06202000,9145.000
853.000,1418.45001000,.003,18.61001000,944.000,3234.06302000,9052.000
848.000,1418.45001000,.002,18.61001000,1005.000,3290.06202000,9065.000
830.000,1418.45001000,.003,18.61001000,935.000,3202.06302000,9049.000
850.000,1418.45001000,.003,18.61001000,954.000,3241.06302000,9167.000
826.000,1418.45001000,.003,18.61001000,955.000,3218.06302000,9010.000
846.000,1418.45001000,.003,18.61001000,984.000,3267.06302000,9078.000
831.000,1418.45001000,.003,18.61001000,993.000,3261.06302000,9107.000
852.000,1418.45001000,.003,18.61001000,991.000,3280.06302000,9104.000
839.000,1418.45001000,.003,18.61001000,958.000,3234.06302000,9150.000
815.000,1418.45001000,.003,18.61001000,969.000,3221.06302000,9105.000
818.000,1418.45001000,.003,18.61001000,955.000,3210.06302000,9088.000
845.000,1418.45001000,.003,18.61001000,963.000,3245.06302000,9135.000
845.000,1418.45001000,.003,18.61001000,944.000,3226.06302000,9081.000
827.000,1418.45001000,.003,18.61001000,1000.000,3264.06302000,9176.000
836.000,1418.45001000,.004,18.61001000,1019.000,3292.06402000,9263.000
823.000,1418.45001000,.002,18.61001000,947.000,3207.06202000,9076.000
828.000,1418.45001000,.003,18.61001000,1002.000,3267.06302000,9113.000
812.000,1418.45001000,.003,18.61001000,1018.000,3267.06302000,9239.000
827.000,1418.45001000,.003,18.61001000,986.000,3250.06302000,9252.000
830.000,1418.45001000,.004,18.61001000,1011.000,3278.06402000,9310.000
847.000,1418.45001000,.004,18.61001000,1400.000,3684.06402000,9710.000
830.000,1418.45001000,.003,18.61001000,927.000,3194.06302000,9122.000
832.000,1418.45001000,.004,18.61001000,1013.000,3282.06402000,9259.000
825.000,1418.45001000,.003,18.61001000,967.000,3229.06302000,9210.000
834.000,1418.45001000,.003,18.61001000,930.000,3201.06302000,9257.000
829.000,1418.45001000,.003,18.61001000,987.000,3253.06302000,9231.000
825.000,1418.45001000,.003,18.61001000,953.000,3215.06302000,9231.000
828.000,1418.45001000,.002,18.61001000,1028.000,3293.06202000,9314.000
835.000,1418.45001000,.002,18.61001000,1019.000,3291.06202000,9311.000
837.000,1418.45001000,.004,18.61001000,2.000,2276.06402000,8315.000
829.000,1418.45001000,.003,18.61001000,1034.000,3300.06302000,9398.000
843.000,1418.45001000,.004,18.61001000,980.000,3260.06402000,9257.000
849.000,1418.45001000,.002,18.61001000,1003.000,3289.06202000,9209.000
816.000,1418.45001000,.003,18.61001000,962.000,3215.06302000,9154.000
819.000,1418.45001000,.003,18.61001000,1003.000,3259.06302000,9307.000
842.000,1418.45001000,.002,18.61001000,989.000,3268.06202000,9263.000
835.000,1418.45001000,.003,18.61001000,947.000,3219.06302000,9225.000
813.000,1418.45001000,.003,18.61001000,1014.000,3264.06302000,9235.000
850.000,1418.45001000,.003,18.61001000,937.000,3224.06302000,9268.000
838.000,1418.45001000,.003,18.61001000,936.000,3211.06302000,9198.000
841.000,1418.45001000,.003,18.61001000,979.000,3257.06302000,9315.000
831.000,1418.45001000,.003,18.61001000,987.000,3255.06302000,9206.000
819.000,1418.45001000,.004,18.61001000,995.000,3251.06402000,9219.000
834.000,1418.45001000,.003,18.61001000,1022.000,3293.06302000,9251.000
833.000,1418.45001000,.003,18.61001000,990.000,3260.06302000,9155.000
848.000,1418.45001000,.003,18.61001000,936.000,3221.06302000,9139.000
847.000,1418.45001000,.003,18.61001000,1003.000,3287.06302000,9338.000
833.000,1418.45001000,.003,18.61001000,986.000,3256.06302000,9271.000
821.000,1418.45001000,.003,18.61001000,961.000,3219.06302000,9144.000
854.000,1418.45001000,.003,18.61001000,982.000,3273.06302000,9262.000
829.000,1418.45001000,.003,18.61001000,1018.000,3284.06302000,9255.000
834.000,1418.45001000,.004,18.61001000,1004.000,3275.06402000,9259.000
844.000,1418.45001000,.003,18.61001000,1068.000,3349.06302000,9357.000
845.000,1418.45001000,.003,18.61001000,972.000,3254.06302000,9210.000
848.000,1418.45001000,.002,18.61001000,992.000,3277.06202000,9274.000
823.000,1418.45001000,.003,18.61001000,976.000,3236.06302000,9245.000
838.000,1418.45001000,.003,18.61001000,983.000,3258.06302000,9363.000
830.000,1418.45001000,.003,18.61001000,1.000,2268.06302000,8317.000
852.000,1418.45001000,.004,18.61001000,948.000,3237.06402000,9243.000
848.000,1418.45001000,.003,18.61001000,1012.000,3297.06302000,9246.000
826.000,1418.45001000,.004,18.61001000,943.000,3206.06402000,9220.000
819.000,1418.45001000,.001,18.61001000,934.000,3190.06102000,9202.000
826.000,1418.45001000,.003,18.61001000,951.000,3214.06302000,9163.000
826.000,1418.45001000,.003,18.61001000,983.000,3246.06302000,9345.000
836.000,1418.45001000,.003,18.61001000,980.000,3253.06302000,9216.000
833.000,1418.45001000,.004,18.61001000,939.000,3209.06402000,9129.000
846.000,1418.45001000,.003,18.61001000,970.000,3253.06302000,9258.000
822.000,1418.45001000,.004,18.61001000,1044.000,3303.06402000,9199.000
839.000,1418.45001000,.004,18.61001000,950.000,3226.06402000,9250.000
856.000,1418.45001000,.003,18.61001000,987.000,3280.06302000,9213.000
855.000,1418.45001000,.003,18.61001000,982.000,3274.06302000,9215.000
839.000,1418.45001000,.004,18.61001000,1012.000,3288.06402000,9251.000
843.000,1418.45001000,.002,18.61001000,942.000,3222.06202000,9179.000
828.000,1418.45001000,.003,18.61001000,957.000,3222.06302000,9090.000
846.000,1418.45001000,.003,18.61001000,985.000,3268.06302000,9196.000
871.000,1418.45001000,.003,18.61001000,998.000,3306.06302000,9240.000
834.000,1418.45001000,.003,18.61001000,986.000,3257.06302000,9193.000
826.000,1418.45001000,.002,18.61001000,970.000,3233.06202000,9256.000
827.000,1418.45001000,.003,18.61001000,1012.000,3276.06302000,9205.000
817.000,1418.45001000,.003,18.61001000,927.000,3181.06302000,9066.000
830.000,1418.45001000,.003,18.61001000,952.000,3219.06302000,9023.000
832.000,1418.45001000,.003,18.61001000,952.000,3221.06302000,9216.000
821.000,1418.45001000,.003,18.61001000,977.000,3235.06302000,9142.000
846.000,1418.45001000,.003,18.61001000,1014.000,3297.06302000,9217.000
830.000,1418.45001000,.003,18.61001000,936.000,3203.06302000,9164.000
827.000,1418.45001000,.002,18.61001000,996.000,3260.06202000,9121.000
832.000,1418.45001000,.002,18.61001000,943.000,3212.06202000,9183.000
845.000,1418.45001000,.002,18.61001000,938.000,3220.06202000,9202.000
813.000,1418.45001000,.003,18.61001000,990.000,3240.06302000,9209.000
836.000,1418.45001000,.004,18.61001000,1003.000,3276.06402000,9228.000
834.000,1418.45001000,.003,18.61001000,1029.000,3300.06302000,9249.000
844.000,1418.45001000,.003,18.61001000,987.000,3268.06302000,9056.000
854.000,1418.45001000,.003,18.61001000,1033.000,3324.06302000,9366.000
815.000,1418.45001000,.003,18.61001000,1021.000,3273.06302000,9205.000
846.000,1418.45001000,.002,18.61001000,1000.000,3283.06202000,9261.000
825.000,1418.45001000,.003,18.61001000,951.000,3213.06302000,9203.000
838.000,1418.45001000,.003,18.61001000,1014.000,3289.06302000,9163.000
820.000,1418.45001000,.003,18.61001000,994.000,3251.06302000,9279.000
841.000,1418.45001000,.003,18.61001000,961.000,3239.06302000,9246.000
837.000,1418.45001000,.003,18.61001000,948.000,3222.06302000,9252.000
814.000,1418.45001000,.003,18.61001000,963.000,3214.06302000,9156.000
824.000,1418.45001000,.003,18.61001000,1018.000,3279.06302000,9216.000
837.000,1418.45001000,.002,18.61001000,2.000,2276.06202000,8301.000
839.000,1418.45001000,.004,18.61001000,958.000,3234.06402000,9411.000
828.000,1418.45001000,.003,18.61001000,1020.000,3285.06302000,9275.000
830.000,1418.45001000,.002,18.61001000,1002.000,3269.06202000,9242.000
837.000,1418.45001000,.004,18.61001000,997.000,3271.06402000,9275.000
841.000,1418.45001000,.003,18.61001000,940.000,3218.06302000,9211.000
710.000,1418.45001000,.003,18.61001000,1001.000,3148.06302000,9203.000
842.000,1418.45001000,.004,18.61001000,943.000,3222.06402000,9215.000
833.000,1418.45001000,.004,18.61001000,1014.000,3284.06402000,9243.000
854.000,1418.45001000,.003,18.61001000,958.000,3249.06302000,9101.000
841.000,1418.45001000,.004,18.61001000,931.000,3209.06402000,9158.000
840.000,1418.45001000,.003,18.61001000,952.000,3229.06302000,9321.000
845.000,1418.45001000,.003,18.61001000,1.000,2283.06302000,8262.000
861.000,1418.45001000,.002,18.61001000,1018.000,3316.06202000,9307.000
839.000,1418.45001000,.002,18.61001000,1008.000,3284.06202000,9197.000
845.000,1418.45001000,.004,18.61001000,1641.000,3923.06402000,10384.000
833.000,1418.45001000,.003,18.61001000,948.000,3218.06302000,9207.000
825.000,1418.45001000,.003,18.61001000,996.000,3258.06302000,9246.000
839.000,1418.45001000,.003,18.61001000,959.000,3235.06302000,9199.000
844.000,1418.45001000,.003,18.61001000,989.000,3270.06302000,9257.000
820.000,1418.45001000,.004,18.61001000,1055.000,3312.06402000,9264.000
830.000,1418.45001000,.004,18.61001000,1499.000,3766.06402000,9763.000
835.000,1418.45001000,.003,18.61001000,960.000,3232.06302000,9149.000
839.000,1418.45001000,.003,18.61001000,953.000,3229.06302000,9178.000
837.000,1418.45001000,.003,18.61001000,969.000,3243.06302000,9213.000
833.000,1418.45001000,.003,18.61001000,985.000,3255.06302000,9287.000
834.000,1418.45001000,.003,18.61001000,1001.000,3272.06302000,9207.000
835.000,1418.45001000,.003,18.61001000,977.000,3249.06302000,9229.000
875.000,1418.45001000,.003,18.61001000,999.000,3311.06302000,9387.000
828.000,1418.45001000,.003,18.61001000,939.000,3204.06302000,9210.000
841.000,1418.45001000,.002,18.61001000,1013.000,3291.06202000,9258.000
841.000,1418.45001000,.003,18.61001000,957.000,3235.06302000,9274.000
840.000,1418.45001000,.003,18.61001000,992.000,3269.06302000,9204.000
826.000,1418.45001000,.003,18.61001000,987.000,3250.06302000,9098.000
830.000,1418.45001000,.002,18.61001000,965.000,3232.06202000,9145.000
