FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,839.000,.002,949.000,1788.002,1807.000
14406.25001000,816.000,.002,959.000,1775.002,1796.000
14406.25001000,828.000,.002,951.000,1779.002,1797.000
14406.25001000,841.000,.002,957.000,1798.002,1814.000
14406.25001000,850.000,.002,1071.000,1921.002,1938.000
14406.25001000,848.000,.002,1016.000,1864.002,1881.000
14406.25001000,845.000,.002,1021.000,1866.002,1886.000
14406.25001000,825.000,.002,986.000,1811.002,1829.000
14406.25001000,827.000,.002,1007.000,1834.002,1851.000
14406.25001000,838.000,.003,964.000,1802.003,1820.000
14406.25001000,835.000,.002,935.000,1770.002,1786.000
14406.25001000,825.000,.002,943.000,1768.002,1788.000
14406.25001000,837.000,.003,947.000,1784.003,1803.000
14406.25001000,830.000,.002,954.000,1784.002,1802.000
14406.25001000,835.000,.003,949.000,1784.003,1804.000
14406.25001000,832.000,.002,940.000,1772.002,1789.000
14406.25001000,823.000,.002,1018.000,1841.002,1859.000
14406.25001000,821.000,.003,1000.000,1821.003,1840.000
14406.25001000,810.000,.002,1025.000,1835.002,1853.000
14406.25001000,820.000,.002,971.000,1791.002,1807.000
14406.25001000,834.000,.003,1013.000,1847.003,1865.000
14406.25001000,824.000,.002,939.000,1763.002,1781.000
14406.25001000,817.000,.002,964.000,1781.002,1798.000
14406.25001000,807.000,.003,992.000,1799.003,1818.000
14406.25001000,836.000,.002,943.000,1779.002,1794.000
14406.25001000,810.000,.002,1011.000,1821.002,1841.000
14406.25001000,849.000,.002,1028.000,1877.002,1893.000
14406.25001000,843.000,.003,1005.000,1848.003,1866.000
14406.25001000,829.000,.002,990.000,1819.002,1835.000
14406.25001000,816.000,.002,1037.000,1853.002,1869.000
14406.25001000,825.000,.002,927.000,1752.002,1769.000
14406.25001000,845.000,.002,940.000,1785.002,1802.000
14406.25001000,808.000,.002,1030.000,1838.002,1855.000
14406.25001000,805.000,.003,1079.000,1884.003,1902.000
