GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
797.000,73.863669000,.003,5.223036000,970.000,1846.089705000,4569.000
795.000,73.863669000,.002,5.223036000,965.000,1839.088705000,4580.000
789.000,73.863669000,.003,5.223036000,937.000,1805.089705000,4555.000
793.000,73.863669000,.002,5.223036000,915.000,1787.088705000,4550.000
810.000,73.863669000,.003,5.223036000,975.000,1864.089705000,4604.000
790.000,73.863669000,.003,5.223036000,933.000,1802.089705000,4548.000
807.000,73.863669000,.003,5.223036000,911.000,1797.089705000,4572.000
798.000,73.863669000,.004,5.223036000,961.000,1838.090705000,4578.000
801.000,73.863669000,.002,5.223036000,914.000,1794.088705000,4530.000
798.000,73.863669000,.002,5.223036000,949.000,1826.088705000,4578.000
799.000,73.863669000,.002,5.223036000,981.000,1859.088705000,4556.000
776.000,73.863669000,.004,5.223036000,1020.000,1875.090705000,4606.000
801.000,73.863669000,.003,5.223036000,990.000,1870.089705000,4603.000
810.000,73.863669000,.003,5.223036000,925.000,1814.089705000,4547.000
804.000,73.863669000,.002,5.223036000,925.000,1808.088705000,4522.000
816.000,73.863669000,.003,5.223036000,966.000,1861.089705000,4605.000
791.000,73.863669000,.002,5.223036000,997.000,1867.088705000,4634.000
783.000,73.863669000,.003,5.223036000,906.000,1768.089705000,4543.000
806.000,73.863669000,.003,5.223036000,982.000,1867.089705000,4655.000
800.000,73.863669000,.003,5.223036000,991.000,1870.089705000,4605.000
810.000,73.863669000,.003,5.223036000,913.000,1802.089705000,4549.000
804.000,73.863669000,.003,5.223036000,925.000,1808.089705000,4550.000
803.000,73.863669000,.002,5.223036000,911.000,1793.088705000,4474.000
810.000,73.863669000,.002,5.223036000,908.000,1797.088705000,4582.000
810.000,73.863669000,.004,5.223036000,961.000,1850.090705000,4613.000
794.000,73.863669000,.003,5.223036000,918.000,1791.089705000,4542.000
795.000,73.863669000,.003,5.223036000,984.000,1858.089705000,4606.000
791.000,73.863669000,.002,5.223036000,966.000,1836.088705000,4609.000
814.000,73.863669000,.004,5.223036000,907.000,1800.090705000,4560.000
794.000,73.863669000,.003,5.223036000,955.000,1828.089705000,4594.000
792.000,73.863669000,.003,5.223036000,911.000,1782.089705000,4502.000
803.000,73.863669000,.002,5.223036000,970.000,1852.088705000,4611.000
797.000,73.863669000,.003,5.223036000,957.000,1833.089705000,4581.000
803.000,73.863669000,.003,5.223036000,954.000,1836.089705000,4602.000
809.000,73.863669000,.003,5.223036000,956.000,1844.089705000,4626.000
797.000,73.863669000,.003,5.223036000,967.000,1843.089705000,4598.000
800.000,73.863669000,.003,5.223036000,1.000,880.089705000,3613.000
807.000,73.863669000,.002,5.223036000,925.000,1811.088705000,4583.000
807.000,73.863669000,.003,5.223036000,965.000,1851.089705000,4607.000
804.000,73.863669000,.004,5.223036000,911.000,1794.090705000,4578.000
799.000,73.863669000,.003,5.223036000,925.000,1803.089705000,4607.000
793.000,73.863669000,.003,5.223036000,976.000,1848.089705000,4654.000
800.000,73.863669000,.003,5.223036000,913.000,1792.089705000,4551.000
799.000,73.863669000,.003,5.223036000,926.000,1804.089705000,4549.000
804.000,73.863669000,.003,5.223036000,989.000,1872.089705000,4601.000
807.000,73.863669000,.002,5.223036000,954.000,1840.088705000,4580.000
800.000,73.863669000,.002,5.223036000,989.000,1868.088705000,4630.000
803.000,73.863669000,.003,5.223036000,906.000,1788.089705000,4559.000
800.000,73.863669000,.003,5.223036000,952.000,1831.089705000,4591.000
816.000,73.863669000,.003,5.223036000,966.000,1861.089705000,4594.000
805.000,73.863669000,.003,5.223036000,905.000,1789.089705000,4526.000
787.000,73.863669000,.002,5.223036000,1030.000,1896.088705000,4640.000
803.000,73.863669000,.002,5.223036000,952.000,1834.088705000,4573.000
801.000,73.863669000,.004,5.223036000,986.000,1866.090705000,4628.000
799.000,73.863669000,.003,5.223036000,920.000,1798.089705000,4573.000
797.000,73.863669000,.003,5.223036000,962.000,1838.089705000,4606.000
806.000,73.863669000,.003,5.223036000,955.000,1840.089705000,4573.000
796.000,73.863669000,.003,5.223036000,921.000,1796.089705000,4555.000
788.000,73.863669000,.002,5.223036000,906.000,1773.088705000,4542.000
789.000,73.863669000,.003,5.223036000,910.000,1778.089705000,4503.000
808.000,73.863669000,.002,5.223036000,952.000,1839.088705000,4609.000
805.000,73.863669000,.003,5.223036000,977.000,1861.089705000,4647.000
809.000,73.863669000,.003,5.223036000,1418.000,2306.089705000,5062.000
797.000,73.863669000,.003,5.223036000,909.000,1785.089705000,4517.000
799.000,73.863669000,.003,5.223036000,2.000,880.089705000,3642.000
801.000,73.863669000,.002,5.223036000,908.000,1788.088705000,4551.000
816.000,73.863669000,.003,5.223036000,958.000,1853.089705000,4595.000
798.000,73.863669000,.003,5.223036000,966.000,1843.089705000,4614.000
805.000,73.863669000,.003,5.223036000,972.000,1856.089705000,4607.000
799.000,73.863669000,.003,5.223036000,955.000,1833.089705000,4598.000
800.000,73.863669000,.003,5.223036000,943.000,1822.089705000,4538.000
789.000,73.863669000,.003,5.223036000,920.000,1788.089705000,4542.000
801.000,73.863669000,.003,5.223036000,1030.000,1910.089705000,4664.000
813.000,73.863669000,.003,5.223036000,907.000,1799.089705000,4550.000
797.000,73.863669000,.003,5.223036000,931.000,1807.089705000,4552.000
797.000,73.863669000,.003,5.223036000,912.000,1788.089705000,4545.000
811.000,73.863669000,.002,5.223036000,900.000,1790.088705000,4528.000
808.000,73.863669000,.003,5.223036000,926.000,1813.089705000,4576.000
797.000,73.863669000,.003,5.223036000,1035.000,1911.089705000,4659.000
810.000,73.863669000,.002,5.223036000,958.000,1847.088705000,4559.000
798.000,73.863669000,.003,5.223036000,989.000,1866.089705000,4649.000
806.000,73.863669000,.002,5.223036000,967.000,1852.088705000,4652.000
794.000,73.863669000,.003,5.223036000,926.000,1799.089705000,4549.000
806.000,73.863669000,.002,5.223036000,909.000,1794.088705000,4537.000
