FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency,StepRuntime
301.282243000,793.000,.002,984.000,1777.002,1796.000
301.282243000,793.000,.002,965.000,1758.002,1776.000
301.282243000,784.000,.003,922.000,1706.003,1727.000
301.282243000,779.000,.003,953.000,1732.003,1749.000
301.282243000,778.000,.003,908.000,1686.003,1703.000
301.282243000,775.000,.003,910.000,1685.003,1704.000
301.282243000,789.000,.003,929.000,1718.003,1740.000
301.282243000,773.000,.005,954.000,1727.005,1747.000
301.282243000,767.000,.002,965.000,1732.002,1750.000
301.282243000,790.000,.002,957.000,1747.002,1763.000
301.282243000,783.000,.002,926.000,1709.002,1730.000
301.282243000,793.000,.002,989.000,1782.002,1801.000
301.282243000,786.000,.003,938.000,1724.003,1743.000
301.282243000,776.000,.002,960.000,1736.002,1754.000
301.282243000,789.000,.003,953.000,1742.003,1762.000
301.282243000,779.000,.003,932.000,1711.003,1728.000
301.282243000,776.000,.002,953.000,1729.002,1747.000
301.282243000,769.000,.003,921.000,1690.003,1709.000
301.282243000,782.000,.003,939.000,1721.003,1740.000
301.282243000,784.000,.004,949.000,1733.004,1754.000
301.282243000,799.000,.003,928.000,1727.003,1745.000
301.282243000,772.000,.002,975.000,1747.002,1765.000
301.282243000,787.000,.003,1035.000,1822.003,1841.000
301.282243000,795.000,.002,924.000,1719.002,1740.000
301.282243000,786.000,.004,800.000,1586.004,1606.000
301.282243000,780.000,.002,898.000,1678.002,1698.000
301.282243000,795.000,.002,931.000,1726.002,1744.000
301.282243000,769.000,.002,968.000,1737.002,1756.000
301.282243000,786.000,.005,1028.000,1814.005,1838.000
301.282243000,777.000,.004,950.000,1727.004,1748.000
301.282243000,793.000,.002,907.000,1700.002,1718.000
301.282243000,781.000,.005,928.000,1709.005,1729.000
301.282243000,769.000,.003,952.000,1721.003,1740.000
301.282243000,788.000,.004,912.000,1700.004,1719.000
301.282243000,773.000,.002,896.000,1669.002,1688.000
301.282243000,771.000,.002,901.000,1672.002,1690.000
301.282243000,791.000,.002,1.000,792.002,809.000
301.282243000,798.000,.002,927.000,1725.002,1745.000
301.282243000,775.000,.002,952.000,1727.002,1743.000
301.282243000,798.000,.002,906.000,1704.002,1721.000
301.282243000,781.000,.003,932.000,1713.003,1733.000
301.282243000,812.000,.002,965.000,1777.002,1796.000
301.282243000,767.000,.002,962.000,1729.002,1747.000
301.282243000,799.000,.002,929.000,1728.002,1746.000
301.282243000,787.000,.002,970.000,1757.002,1774.000
301.282243000,782.000,.002,1033.000,1815.002,1833.000
301.282243000,800.000,.002,977.000,1777.002,1794.000
301.282243000,791.000,.001,987.000,1778.001,1798.000
301.282243000,791.000,.004,985.000,1776.004,1799.000
301.282243000,784.000,.003,962.000,1746.003,1765.000
301.282243000,787.000,.002,926.000,1713.002,1735.000
301.282243000,774.000,.003,942.000,1716.003,1738.000
301.282243000,787.000,.002,955.000,1742.002,1760.000
301.282243000,788.000,.002,965.000,1753.002,1770.000
301.282243000,781.000,.002,903.000,1684.002,1704.000
301.282243000,785.000,.002,1022.000,1807.002,1829.000
301.282243000,810.000,.001,910.000,1720.001,1738.000
301.282243000,792.000,.002,946.000,1738.002,1756.000
