FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
301.282243000,796.000,.003,899.000,1695.003,1714.000
301.282243000,765.000,.003,907.000,1672.003,1689.000
301.282243000,766.000,.005,914.000,1680.005,1700.000
301.282243000,774.000,.002,940.000,1714.002,1736.000
301.282243000,777.000,.003,959.000,1736.003,1755.000
301.282243000,782.000,.003,938.000,1720.003,1738.000
301.282243000,790.000,.003,944.000,1734.003,1752.000
301.282243000,793.000,.002,896.000,1689.002,1706.000
301.282243000,778.000,.002,910.000,1688.002,1705.000
301.282243000,776.000,.003,929.000,1705.003,1723.000
301.282243000,787.000,.002,965.000,1752.002,1771.000
301.282243000,790.000,.002,924.000,1714.002,1734.000
301.282243000,780.000,.002,944.000,1724.002,1742.000
301.282243000,773.000,.003,927.000,1700.003,1718.000
301.282243000,787.000,.002,927.000,1714.002,1734.000
301.282243000,776.000,.002,948.000,1724.002,1742.000
301.282243000,771.000,.002,907.000,1678.002,1695.000
301.282243000,793.000,.002,943.000,1736.002,1753.000
301.282243000,785.000,.002,957.000,1742.002,1759.000
301.282243000,773.000,.003,898.000,1671.003,1691.000
301.282243000,780.000,.001,902.000,1682.001,1701.000
301.282243000,773.000,.002,905.000,1678.002,1695.000
301.282243000,781.000,.002,915.000,1696.002,1713.000
301.282243000,790.000,.002,930.000,1720.002,1738.000
301.282243000,780.000,.002,946.000,1726.002,1744.000
301.282243000,776.000,.002,914.000,1690.002,1707.000
301.282243000,790.000,.002,939.000,1729.002,1747.000
301.282243000,780.000,.003,944.000,1724.003,1744.000
301.282243000,774.000,.004,919.000,1693.004,1712.000
301.282243000,788.000,.002,903.000,1691.002,1705.000
301.282243000,774.000,.002,940.000,1714.002,1730.000
301.282243000,777.000,.003,954.000,1731.003,1750.000
301.282243000,788.000,.003,903.000,1691.003,1711.000
301.282243000,790.000,.004,920.000,1710.004,1730.000
301.282243000,786.000,.002,945.000,1731.002,1749.000
301.282243000,769.000,.005,903.000,1672.005,1692.000
301.282243000,781.000,.002,1.000,782.002,801.000
301.282243000,797.000,.002,905.000,1702.002,1720.000
301.282243000,776.000,.002,932.000,1708.002,1727.000
301.282243000,766.000,.002,1020.000,1786.002,1808.000
301.282243000,788.000,.003,957.000,1745.003,1765.000
301.282243000,783.000,.002,970.000,1753.002,1772.000
301.282243000,791.000,.002,941.000,1732.002,1754.000
301.282243000,776.000,.002,971.000,1747.002,1767.000
301.282243000,798.000,.003,955.000,1753.003,1772.000
301.282243000,789.000,.003,896.000,1685.003,1703.000
301.282243000,786.000,.003,916.000,1702.003,1720.000
301.282243000,774.000,.003,907.000,1681.003,1699.000
301.282243000,778.000,.001,932.000,1710.001,1727.000
301.282243000,786.000,.002,953.000,1739.002,1756.000
301.282243000,789.000,.002,936.000,1725.002,1740.000
