GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
804.000,8.755174000,.002,12.890177000,995.000,1820.647351000,2999.000
799.000,8.755174000,.002,12.890177000,936.000,1756.647351000,2899.000
808.000,8.755174000,.003,12.890177000,933.000,1762.648351000,2894.000
847.000,8.755174000,.002,12.890177000,995.000,1863.647351000,3051.000
816.000,8.755174000,.003,12.890177000,965.000,1802.648351000,2969.000
828.000,8.755174000,.002,12.890177000,1468.000,2317.647351000,3478.000
824.000,8.755174000,.002,12.890177000,997.000,1842.647351000,3022.000
818.000,8.755174000,.002,12.890177000,1451.000,2290.647351000,3491.000
812.000,8.755174000,.003,12.890177000,984.000,1817.648351000,2988.000
820.000,8.755174000,.002,12.890177000,1012.000,1853.647351000,3019.000
839.000,8.755174000,.002,12.890177000,966.000,1826.647351000,3026.000
804.000,8.755174000,.005,12.890177000,936.000,1761.650351000,2956.000
818.000,8.755174000,.003,12.890177000,1008.000,1847.648351000,3019.000
