GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
817.000,8.755174000,.002,12.890177000,1008.000,1846.647351000,3006.000
822.000,8.755174000,.003,12.890177000,1001.000,1844.648351000,3003.000
826.000,8.755174000,.003,12.890177000,1007.000,1854.648351000,3019.000
831.000,8.755174000,.003,12.890177000,1026.000,1878.648351000,3033.000
823.000,8.755174000,.003,12.890177000,911.000,1755.648351000,2900.000
836.000,8.755174000,.003,12.890177000,960.000,1817.648351000,3000.000
822.000,8.755174000,.003,12.890177000,845.000,1688.648351000,2864.000
838.000,8.755174000,.006,12.890177000,1016.000,1875.651351000,3032.000
809.000,8.755174000,.003,12.890177000,952.000,1782.648351000,2942.000
807.000,8.755174000,.003,12.890177000,936.000,1764.648351000,2923.000
831.000,8.755174000,.002,12.890177000,949.000,1801.647351000,2979.000
836.000,8.755174000,.004,12.890177000,1002.000,1859.649351000,3011.000
810.000,8.755174000,.002,12.890177000,951.000,1782.647351000,2914.000
831.000,8.755174000,.003,12.890177000,1016.000,1868.648351000,3035.000
821.000,8.755174000,.002,12.890177000,940.000,1782.647351000,2943.000
842.000,8.755174000,.003,12.890177000,1021.000,1884.648351000,3054.000
825.000,8.755174000,.003,12.890177000,865.000,1711.648351000,2853.000
814.000,8.755174000,.002,12.890177000,994.000,1829.647351000,2999.000
818.000,8.755174000,.003,12.890177000,998.000,1837.648351000,3006.000
822.000,8.755174000,.003,12.890177000,1000.000,1843.648351000,2987.000
805.000,8.755174000,.003,12.890177000,973.000,1799.648351000,2957.000
820.000,8.755174000,.003,12.890177000,1003.000,1844.648351000,2995.000
838.000,8.755174000,.002,12.890177000,1007.000,1866.647351000,2998.000
824.000,8.755174000,.003,12.890177000,958.000,1803.648351000,2971.000
838.000,8.755174000,.003,12.890177000,995.000,1854.648351000,2995.000
807.000,8.755174000,.003,12.890177000,990.000,1818.648351000,2981.000
812.000,8.755174000,.003,12.890177000,1008.000,1841.648351000,3001.000
817.000,8.755174000,.003,12.890177000,1021.000,1859.648351000,3036.000
823.000,8.755174000,.002,12.890177000,1023.000,1867.647351000,3021.000
803.000,8.755174000,.004,12.890177000,1034.000,1858.649351000,3001.000
813.000,8.755174000,.003,12.890177000,935.000,1769.648351000,2957.000
826.000,8.755174000,.003,12.890177000,992.000,1839.648351000,3003.000
825.000,8.755174000,.003,12.890177000,996.000,1842.648351000,2979.000
805.000,8.755174000,.003,12.890177000,972.000,1798.648351000,2960.000
829.000,8.755174000,.003,12.890177000,1080.000,1930.648351000,3105.000
823.000,8.755174000,.003,12.890177000,946.000,1790.648351000,2971.000
822.000,8.755174000,.004,12.890177000,1.000,844.649351000,2011.000
815.000,8.755174000,.003,12.890177000,1004.000,1840.648351000,3013.000
