GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
807.000,8.755174000,.003,12.890177000,1068.000,1896.648351000,3064.000
793.000,8.755174000,.002,12.890177000,1037.000,1851.647351000,3000.000
815.000,8.755174000,.003,12.890177000,964.000,1800.648351000,2957.000
829.000,8.755174000,.003,12.890177000,997.000,1847.648351000,3009.000
795.000,8.755174000,.003,12.890177000,999.000,1815.648351000,2989.000
830.000,8.755174000,.004,12.890177000,1009.000,1860.649351000,3046.000
816.000,8.755174000,.003,12.890177000,979.000,1816.648351000,2958.000
798.000,8.755174000,.003,12.890177000,1020.000,1839.648351000,3036.000
810.000,8.755174000,.003,12.890177000,1025.000,1856.648351000,3006.000
815.000,8.755174000,.004,12.890177000,928.000,1764.649351000,2939.000
818.000,8.755174000,.003,12.890177000,994.000,1833.648351000,3007.000
812.000,8.755174000,.003,12.890177000,968.000,1801.648351000,2950.000
821.000,8.755174000,.003,12.890177000,1017.000,1859.648351000,3008.000
822.000,8.755174000,.003,12.890177000,946.000,1789.648351000,2933.000
836.000,8.755174000,.003,12.890177000,952.000,1809.648351000,3003.000
831.000,8.755174000,.003,12.890177000,1024.000,1876.648351000,3033.000
846.000,8.755174000,.002,12.890177000,945.000,1812.647351000,2962.000
810.000,8.755174000,.004,12.890177000,1068.000,1899.649351000,3069.000
817.000,8.755174000,.002,12.890177000,947.000,1785.647351000,2935.000
836.000,8.755174000,.003,12.890177000,999.000,1856.648351000,3034.000
812.000,8.755174000,.003,12.890177000,997.000,1830.648351000,2999.000
812.000,8.755174000,.003,12.890177000,1015.000,1848.648351000,3000.000
828.000,8.755174000,.003,12.890177000,988.000,1837.648351000,2997.000
829.000,8.755174000,.003,12.890177000,961.000,1811.648351000,2995.000
820.000,8.755174000,.002,12.890177000,995.000,1836.647351000,3008.000
830.000,8.755174000,.004,12.890177000,946.000,1797.649351000,2970.000
824.000,8.755174000,.004,12.890177000,973.000,1818.649351000,2963.000
823.000,8.755174000,.003,12.890177000,975.000,1819.648351000,3000.000
821.000,8.755174000,.003,12.890177000,942.000,1784.648351000,2941.000
827.000,8.755174000,.002,12.890177000,965.000,1813.647351000,3025.000
810.000,8.755174000,.003,12.890177000,1041.000,1872.648351000,3033.000
827.000,8.755174000,.003,12.890177000,952.000,1800.648351000,2959.000
814.000,8.755174000,.003,12.890177000,967.000,1802.648351000,2945.000
816.000,8.755174000,.002,12.890177000,946.000,1783.647351000,2950.000
824.000,8.755174000,.002,12.890177000,1015.000,1860.647351000,3046.000
810.000,8.755174000,.002,12.890177000,935.000,1766.647351000,2946.000
849.000,8.755174000,.003,12.890177000,1.000,871.648351000,2044.000
809.000,8.755174000,.002,12.890177000,1021.000,1851.647351000,3021.000
815.000,8.755174000,.003,12.890177000,1010.000,1846.648351000,3001.000
807.000,8.755174000,.002,12.890177000,954.000,1782.647351000,2931.000
834.000,8.755174000,.003,12.890177000,987.000,1842.648351000,3007.000
823.000,8.755174000,.003,12.890177000,1001.000,1845.648351000,3016.000
836.000,8.755174000,.002,12.890177000,1012.000,1869.647351000,3040.000
827.000,8.755174000,.003,12.890177000,941.000,1789.648351000,2965.000
852.000,8.755174000,.003,12.890177000,962.000,1835.648351000,3025.000
840.000,8.755174000,.002,12.890177000,978.000,1839.647351000,3002.000
