GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
827.000,.003,981.000,1808.003,1826.000
812.000,.005,959.000,1771.005,1792.000
809.000,.002,978.000,1787.002,1804.000
816.000,.002,931.000,1747.002,1765.000
817.000,.002,949.000,1766.002,1784.000
813.000,.003,1018.000,1831.003,1849.000
818.000,.002,931.000,1749.002,1766.000
818.000,.002,937.000,1755.002,1773.000
809.000,.002,1031.000,1840.002,1858.000
813.000,.001,943.000,1756.001,1773.000
809.000,.003,958.000,1767.003,1784.000
795.000,.002,977.000,1772.002,1788.000
829.000,.002,944.000,1773.002,1791.000
840.000,.003,941.000,1781.003,1799.000
832.000,.003,1010.000,1842.003,1859.000
803.000,.001,930.000,1733.001,1748.000
814.000,.002,1008.000,1822.002,1841.000
818.000,.002,972.000,1790.002,1808.000
806.000,.003,1007.000,1813.003,1835.000
818.000,.005,1021.000,1839.005,1860.000
839.000,.002,994.000,1833.002,1852.000
807.000,.002,1022.000,1829.002,1847.000
815.000,.002,941.000,1756.002,1774.000
833.000,.003,943.000,1776.003,1792.000
826.000,.003,954.000,1780.003,1801.000
819.000,.003,953.000,1772.003,1792.000
821.000,.002,995.000,1816.002,1834.000
810.000,.002,970.000,1780.002,1798.000
810.000,.003,972.000,1782.003,1800.000
823.000,.003,1007.000,1830.003,1849.000
814.000,.002,984.000,1798.002,1816.000
837.000,.002,926.000,1763.002,1780.000
815.000,.002,989.000,1804.002,1823.000
830.000,.003,948.000,1778.003,1798.000
850.000,.002,960.000,1810.002,1830.000
851.000,.002,1001.000,1852.002,1871.000
840.000,.002,1.000,841.002,861.000
820.000,.003,996.000,1816.003,1834.000
825.000,.002,925.000,1750.002,1769.000
801.000,.002,990.000,1791.002,1808.000
816.000,.002,954.000,1770.002,1789.000
822.000,.002,1012.000,1834.002,1852.000
809.000,.002,937.000,1746.002,1765.000
815.000,.002,951.000,1766.002,1786.000
819.000,.002,1010.000,1829.002,1850.000
820.000,.002,997.000,1817.002,1833.000
809.000,.003,977.000,1786.003,1805.000
833.000,.003,940.000,1773.003,1792.000
802.000,.002,990.000,1792.002,1810.000
829.000,.004,969.000,1798.004,1819.000
807.000,.002,952.000,1759.002,1778.000
843.000,.002,984.000,1827.002,1846.000
815.000,.005,1071.000,1886.005,1907.000
809.000,.003,968.000,1777.003,1797.000
824.000,.002,991.000,1815.002,1835.000
815.000,.003,1022.000,1837.003,1856.000
817.000,.002,1070.000,1887.002,1904.000
827.000,.002,1054.000,1881.002,1900.000
823.000,.002,855.000,1678.002,1698.000
806.000,.002,938.000,1744.002,1764.000
821.000,.002,929.000,1750.002,1766.000
795.000,.003,1001.000,1796.003,1815.000
821.000,.003,1009.000,1830.003,1849.000
828.000,.002,994.000,1822.002,1839.000
815.000,.003,1.000,816.003,838.000
815.000,.002,976.000,1791.002,1810.000
806.000,.004,1077.000,1883.004,1905.000
824.000,.004,1006.000,1830.004,1851.000
831.000,.003,960.000,1791.003,1810.000
826.000,.003,926.000,1752.003,1770.000
820.000,.002,1024.000,1844.002,1864.000
820.000,.002,1007.000,1827.002,1845.000
831.000,.005,957.000,1788.005,1815.000
831.000,.003,950.000,1781.003,1801.000
840.000,.003,943.000,1783.003,1802.000
804.000,.002,946.000,1750.002,1767.000
799.000,.002,991.000,1790.002,1809.000
827.000,.002,945.000,1772.002,1792.000
816.000,.002,1016.000,1832.002,1850.000
841.000,.003,1005.000,1846.003,1866.000
815.000,.002,1005.000,1820.002,1838.000
825.000,.003,954.000,1779.003,1796.000
822.000,.002,961.000,1783.002,1800.000
824.000,.002,946.000,1770.002,1788.000
811.000,.002,972.000,1783.002,1801.000
856.000,.003,1024.000,1880.003,1900.000
820.000,.003,961.000,1781.003,1800.000
812.000,.003,970.000,1782.003,1801.000
832.000,.002,999.000,1831.002,1850.000
837.000,.002,956.000,1793.002,1811.000
824.000,.002,950.000,1774.002,1792.000
821.000,.002,951.000,1772.002,1789.000
836.000,.003,939.000,1775.003,1793.000
815.000,.002,1016.000,1831.002,1851.000
818.000,.003,1009.000,1827.003,1844.000
